GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stanford CoreNLP,edu.stanford.nlp.maxent,CGRunner.LikelihoodFunction,173,0,18,0,35,0,15,0,6,0
Stanford CoreNLP,edu.stanford.nlp.maxent,CGRunner,336,0,12,0,56,0,16,0,10,0
Stanford CoreNLP,edu.stanford.nlp.maxent,DataGeneric,3,0,0,0,1,0,1,0,1,0
Stanford CoreNLP,edu.stanford.nlp.maxent,Feature,476,0,34,0,93,0,37,0,20,0
Stanford CoreNLP,edu.stanford.nlp.maxent,Experiments,1101,11,90,0,187,4,63,1,18,1
Stanford CoreNLP,edu.stanford.nlp.maxent,Features,271,11,22,0,67,4,19,2,8,2
Stanford CoreNLP,edu.stanford.nlp.maxent,CGRunner.MonitorFunction,78,0,4,0,14,0,6,0,4,0
Stanford CoreNLP,edu.stanford.nlp.maxent,Problem,99,0,4,0,30,0,8,0,6,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,CorefCoreAnnotations.CorefGraphAnnotation,7,0,0,0,2,0,2,0,2,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,ScorerBCubed.BCubedType,68,0,0,0,1,0,4,0,4,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,RuleBasedCorefMentionFinder,2071,123,265,3,377,14,160,4,27,3
Stanford CoreNLP,edu.stanford.nlp.dcoref,CorefCoreAnnotations.CorefClusterAnnotation,7,0,0,0,2,0,2,0,2,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,CorefCoreAnnotations,3,0,0,0,2,0,1,0,1,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,SieveCoreferenceSystem.new FileFilter() {...},13,0,0,0,3,0,3,0,3,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,CorefChain.CorefMentionComparator,47,0,12,0,8,0,8,0,2,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,Dictionaries.Animacy,48,0,0,0,1,0,4,0,4,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,CorefCoreAnnotations.CorefAnnotation,5,0,0,0,2,0,2,0,2,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,Mention,5048,91,1018,1,857,25,598,2,81,2
Stanford CoreNLP,edu.stanford.nlp.dcoref,MentionExtractor,936,0,110,0,197,0,81,0,24,0
Stanford CoreNLP,edu.stanford.nlp.dcoref,CorefChain.CorefMention,359,0,56,0,75,0,34,0,6,0
